ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1459,West Bengal,Kolkata,Kolkata Suburban,Apartment,2,888,77.72,8752.53,1996,Fully Furnished,2,5,28,1,2,Low,Double,Medium,Power Backup,North-West,Builder,Under Construction
1460,Delhi,Delhi,Delhi Suburban,Apartment,4,2484,640.27,25775.61,2017,Fully Furnished,22,31,7,5,1,Low,None,High,"Garden,Visitor Parking",South,Owner,Under Construction
1461,Maharashtra,Mumbai,Mumbai Prime,Apartment,5,2593,1002.5,38661.87,1990,Unfurnished,7,16,34,3,5,Medium,Single,Medium,"Play Area,Club House,Visitor Parking,Intercom,Swimming Pool,Garden",East,Builder,Ready to Move
1462,Delhi,Delhi,Delhi Rural,Apartment,2,1329,171.28,12887.56,2002,Unfurnished,1,5,22,0,1,Low,Double,High,"Play Area,Intercom,CCTV,Garden",North,Builder,Under Construction
1463,Uttar Pradesh,Ghaziabad,Ghaziabad Central,Apartment,5,2615,278.33,10643.65,1993,Fully Furnished,21,30,31,1,0,Medium,None,High,"Play Area,Swimming Pool,Intercom,Lift,CCTV,Gym,Garden",South,Owner,Resale
1464,West Bengal,Kolkata,Kolkata Suburban,Apartment,2,1132,121.01,10689.76,2007,Fully Furnished,19,23,17,3,1,Low,None,Low,"Club House,Garden,Visitor Parking,Power Backup,Intercom",South-East,Builder,Resale
1465,Delhi,Delhi,Delhi Central,Villa,2,1041,377.69,36281.05,2015,Semi-Furnished,22,31,9,3,2,High,None,Low,Lift,North-West,Owner,Ready to Move
1466,Delhi,Delhi,Delhi Suburban,Apartment,3,1408,427.18,30339.53,2009,Unfurnished,8,14,15,5,3,High,Double,High,"Gym,Power Backup,Club House,Play Area,Garden",South-East,Owner,Under Construction
1467,Maharashtra,Nagpur,Nagpur Central,Apartment,3,1372,130.54,9514.52,2018,Fully Furnished,28,29,6,6,4,Medium,Single,High,"Club House,Garden",North,Owner,Resale
1468,Maharashtra,Pune,Pune Outskirts,Independent House,3,2057,359.66,17484.75,1997,Semi-Furnished,12,18,27,7,2,Medium,Single,Medium,"Club House,Swimming Pool,Visitor Parking,Intercom,Play Area,Garden",West,Agent,Resale
1469,Telangana,Hyderabad,Hyderabad Central,Studio,2,1122,168.89,15052.84,2014,Semi-Furnished,11,18,10,0,1,Low,Single,High,"Visitor Parking,CCTV,Garden",North-West,Agent,Ready to Move
1470,Gujarat,Ahmedabad,Ahmedabad Suburban,Independent House,3,1596,179.47,11244.97,2004,Semi-Furnished,6,9,20,0,4,Medium,Single,High,"Lift,Gym,Visitor Parking,CCTV",North-West,Owner,Under Construction
1471,Karnataka,Bangalore,Bangalore Prime,Apartment,4,1747,484.03,27706.25,2015,Fully Furnished,22,28,9,0,4,Low,Single,Medium,Power Backup,South-East,Owner,Ready to Move
1472,Maharashtra,Mumbai,Mumbai Outskirts,Independent House,2,1193,390.98,32772.74,1992,Fully Furnished,26,34,32,4,5,Medium,Single,High,"Swimming Pool,Lift,Garden,Play Area,Club House",South,Builder,Under Construction
1473,Telangana,Hyderabad,Hyderabad Suburban,Independent House,2,1062,210.69,19838.83,1998,Fully Furnished,22,23,26,4,4,High,Double,Medium,"Lift,Gym",South,Owner,Ready to Move
1474,Tamil Nadu,Chennai,Chennai Central,Apartment,3,1597,334.37,20937.52,2023,Fully Furnished,14,20,1,5,0,High,Single,Low,"Visitor Parking,Club House,CCTV,Lift",South-West,Builder,Under Construction
1475,Karnataka,Bangalore,Bangalore Suburban,Apartment,3,1918,509.46,26561.96,2021,Fully Furnished,18,27,3,4,0,High,Single,High,"Gym,Lift,Play Area,Club House,Garden,Swimming Pool",South,Owner,Ready to Move
1476,Delhi,Delhi,Delhi Suburban,Apartment,4,2239,503.21,22474.67,1993,Semi-Furnished,10,14,31,3,4,High,Single,Medium,"Swimming Pool,CCTV,Lift,Visitor Parking,Play Area",West,Builder,Ready to Move
1477,West Bengal,Kolkata,Kolkata Central,Penthouse,3,1639,285.9,17443.38,1991,Fully Furnished,16,25,33,2,1,Medium,Single,Medium,,South-West,Owner,Under Construction
1478,Karnataka,Bangalore,Bangalore Rural,Villa,1,648,108.14,16688.28,2016,Fully Furnished,13,17,8,2,1,Low,None,High,,North,Owner,Ready to Move
1479,Telangana,Hyderabad,Hyderabad Central,Apartment,4,1511,278.43,18426.86,2013,Unfurnished,10,17,11,6,2,Low,None,High,"Club House,Garden,Play Area,Intercom,Lift,Visitor Parking,CCTV",South-West,Builder,Ready to Move
1480,Rajasthan,Jaipur,Jaipur Suburban,Apartment,4,2011,219.03,10891.62,2012,Semi-Furnished,27,32,12,2,0,Medium,Double,High,"Visitor Parking,Gym,Intercom,Lift,Swimming Pool",South-West,Agent,Under Construction
1481,Karnataka,Bangalore,Bangalore Suburban,Villa,3,1591,342.54,21529.65,1994,Unfurnished,8,16,30,6,1,Medium,None,High,"Lift,Swimming Pool,Visitor Parking,Club House,Intercom,Power Backup,Garden",South-West,Owner,Under Construction
1482,Delhi,Delhi,Delhi Outskirts,Studio,2,1117,178.13,15946.74,2012,Unfurnished,27,28,12,1,0,Medium,Double,Medium,"Intercom,Lift,CCTV,Garden,Gym,Club House",East,Builder,Ready to Move
1483,Delhi,Delhi,Delhi Prime,Apartment,1,623,241.57,38775.59,2023,Semi-Furnished,10,16,1,6,2,High,Double,Medium,"Club House,Visitor Parking,Gym,CCTV,Swimming Pool",West,Builder,Resale
1484,West Bengal,Kolkata,Kolkata Suburban,Independent House,3,1550,159.57,10294.55,1996,Semi-Furnished,9,17,28,7,0,Low,Single,Medium,,South,Owner,Ready to Move
1485,Tamil Nadu,Chennai,Chennai Prime,Apartment,4,2305,476.13,20656.39,2006,Unfurnished,19,27,18,2,3,High,Single,High,"Power Backup,CCTV,Swimming Pool,Lift",North-East,Owner,Resale
1486,Uttar Pradesh,Lucknow,Lucknow Outskirts,Independent House,2,1185,79.73,6728.21,2013,Semi-Furnished,9,17,11,2,2,Low,Single,Medium,"Club House,Play Area,Lift,Swimming Pool,Gym,Garden,Intercom",North-East,Builder,Ready to Move
1487,Karnataka,Bangalore,Bangalore Suburban,Apartment,5,2816,667.98,23721.02,2022,Semi-Furnished,29,38,2,2,1,High,Double,Medium,"Club House,Garden,Play Area,Gym,Lift",South-East,Owner,Resale
1488,Maharashtra,Pune,Pune Prime,Apartment,3,1602,309.17,19299.18,2021,Unfurnished,9,14,3,0,5,Low,Single,Low,Lift,South-West,Builder,Ready to Move
1489,Maharashtra,Mumbai,Mumbai Prime,Independent House,2,1188,513.83,43251.58,2003,Unfurnished,14,17,21,3,2,Low,Single,High,"Lift,Visitor Parking,Garden",East,Builder,Ready to Move
1490,Maharashtra,Mumbai,Mumbai Central,Independent House,3,1549,653.51,42189.4,2007,Fully Furnished,3,5,17,1,0,Medium,Single,High,"Visitor Parking,Play Area",South,Builder,Ready to Move
1491,Delhi,Delhi,Delhi Central,Villa,2,1442,493.64,34233.09,2008,Semi-Furnished,23,26,16,4,0,Medium,Single,Low,"Lift,Garden,Power Backup,Intercom",South-East,Agent,Ready to Move
1492,Uttar Pradesh,Noida,Noida Suburban,Independent House,2,960,142.71,14865.6,2003,Unfurnished,5,11,21,6,5,Medium,Single,High,"Swimming Pool,Club House,Intercom,Power Backup",North-West,Builder,Ready to Move
1493,Maharashtra,Mumbai,Mumbai Suburban,Apartment,3,1628,586.64,36034.68,2010,Unfurnished,20,24,14,4,5,High,Single,High,"Visitor Parking,Play Area,Garden,Club House",East,Agent,Ready to Move
1494,Uttar Pradesh,Ghaziabad,Ghaziabad Suburban,Apartment,3,1762,179.02,10160.2,2015,Fully Furnished,3,7,9,2,5,Medium,Single,High,"Gym,Club House,Power Backup,Swimming Pool,Garden,Visitor Parking",South-East,Agent,Resale
1495,Delhi,Delhi,Delhi Suburban,Apartment,3,1513,376.75,24901.15,1996,Semi-Furnished,10,14,28,4,5,Medium,Single,High,Club House,East,Owner,Resale
1496,Delhi,Delhi,Delhi Suburban,Apartment,3,1169,317.35,27146.84,2022,Semi-Furnished,27,36,2,7,3,Medium,Single,Medium,Power Backup,North,Builder,Ready to Move
1497,Gujarat,Surat,Surat Central,Apartment,2,1090,113.56,10418.4,2018,Semi-Furnished,28,30,6,1,3,Medium,Single,High,"Gym,Lift",East,Agent,Resale
1498,Delhi,Delhi,Delhi Suburban,Villa,3,1845,573.27,31071.81,2019,Unfurnished,13,15,5,7,4,Low,Double,High,"Intercom,CCTV,Power Backup",East,Agent,Ready to Move
1499,Delhi,Delhi,Delhi Outskirts,Apartment,3,1448,254.87,17601.19,1991,Unfurnished,11,16,33,5,1,Medium,Double,Low,"Gym,Intercom,Club House",West,Builder,Resale
1500,Delhi,Delhi,Delhi Suburban,Independent House,3,1718,582.31,33894.45,2013,Fully Furnished,6,7,11,3,2,Medium,Double,High,"Play Area,Gym",East,Owner,Under Construction
1501,Maharashtra,Nagpur,Nagpur Prime,Apartment,4,2174,214.59,9870.56,2016,Semi-Furnished,27,36,8,7,2,High,Single,Medium,"Gym,Club House,CCTV,Visitor Parking,Intercom,Swimming Pool",North-West,Builder,Ready to Move
1502,Delhi,Delhi,Delhi Rural,Apartment,4,1600,218.26,13641.05,2023,Unfurnished,15,19,1,0,4,Medium,None,Low,"Lift,Swimming Pool,Play Area,Gym",West,Owner,Ready to Move
1503,Uttar Pradesh,Noida,Noida Central,Apartment,2,1105,173.77,15725.84,2011,Semi-Furnished,16,22,13,2,4,Medium,Single,Medium,"Visitor Parking,Garden,Intercom,Club House",North-East,Agent,Resale
1504,Uttar Pradesh,Noida,Noida Rural,Independent House,2,1342,108.12,8056.74,1995,Semi-Furnished,3,8,29,3,0,Medium,Single,High,"Garden,Swimming Pool,Visitor Parking,Power Backup",South-East,Owner,Ready to Move
1505,Karnataka,Bangalore,Bangalore Central,Apartment,2,1294,327.14,25281.41,2010,Fully Furnished,12,14,14,1,1,Medium,None,Medium,"Power Backup,Intercom,Visitor Parking,Garden,Lift",South-West,Owner,Ready to Move
1506,Delhi,Delhi,Delhi Outskirts,Apartment,2,948,190.08,20050.59,2020,Semi-Furnished,28,36,4,6,0,Medium,Single,Medium,"CCTV,Intercom,Power Backup,Lift",West,Agent,Resale
1507,Maharashtra,Mumbai,Mumbai Central,Penthouse,3,2070,870.06,42031.96,2005,Semi-Furnished,17,26,19,4,5,Medium,Single,Medium,Lift,South-West,Builder,Resale
1508,Telangana,Hyderabad,Hyderabad Outskirts,Apartment,1,652,117.33,17995.23,2020,Fully Furnished,19,25,4,5,4,Medium,Double,High,"CCTV,Play Area,Lift,Gym,Visitor Parking,Garden,Swimming Pool",South,Owner,Resale
1509,West Bengal,Kolkata,Kolkata Central,Apartment,2,1177,153.42,13035.25,2010,Semi-Furnished,19,25,14,1,3,Low,Single,High,"Gym,Garden,Lift",North-East,Owner,Under Construction
1510,Delhi,Delhi,Delhi Suburban,Apartment,2,1149,234.04,20369.3,1993,Unfurnished,0,7,31,4,1,Medium,None,Medium,"Garden,Power Backup,Play Area,Lift,CCTV",West,Builder,Resale
1511,Gujarat,Surat,Surat Suburban,Independent House,2,1229,117.39,9551.83,2012,Unfurnished,9,10,12,2,0,Low,Double,Medium,Lift,East,Owner,Ready to Move
1512,Maharashtra,Mumbai,Mumbai Suburban,Independent House,3,1695,525.19,30984.46,2011,Semi-Furnished,28,30,13,1,5,Medium,None,Low,"Intercom,Gym,Visitor Parking,Play Area,CCTV,Club House",South-East,Builder,Resale
1513,Karnataka,Bangalore,Bangalore Suburban,Independent House,3,1714,442.9,25840.13,2023,Semi-Furnished,19,23,1,4,4,High,None,Medium,Garden,West,Owner,Ready to Move
1514,Maharashtra,Mumbai,Mumbai Rural,Apartment,2,890,161.42,18137.43,2000,Fully Furnished,22,28,24,6,1,Medium,Single,Medium,"Swimming Pool,Lift,Club House,CCTV",South-West,Agent,Ready to Move
1515,West Bengal,Kolkata,Kolkata Suburban,Apartment,2,1202,125.66,10454.02,2020,Fully Furnished,27,33,4,0,5,Low,None,Medium,"Power Backup,Club House,Gym,Swimming Pool",West,Owner,Under Construction
1516,Karnataka,Bangalore,Bangalore Suburban,Penthouse,3,1485,465.61,31354.2,2020,Unfurnished,0,5,4,7,4,High,Single,Low,"Gym,Garden,Swimming Pool,CCTV,Club House",West,Agent,Under Construction
1517,Delhi,Delhi,Delhi Rural,Apartment,2,1040,164.56,15823.41,1997,Semi-Furnished,18,19,27,1,2,High,Single,High,,South-East,Owner,Ready to Move
1518,Delhi,Delhi,Delhi Rural,Apartment,4,1578,228.18,14460.12,2016,Unfurnished,1,9,8,1,4,Medium,Double,Low,,South-West,Owner,Under Construction
1519,Karnataka,Bangalore,Bangalore Outskirts,Independent House,2,1134,255.19,22503.11,2016,Semi-Furnished,7,11,8,7,1,High,Single,Medium,"Club House,Visitor Parking,Swimming Pool,Intercom,Garden,Gym,Power Backup",South-East,Owner,Resale
1520,Telangana,Hyderabad,Hyderabad Suburban,Independent House,4,2000,359.86,17993.09,2022,Unfurnished,11,13,2,4,3,Low,None,Medium,"Visitor Parking,Power Backup,Gym,Swimming Pool,Intercom",North-West,Owner,Under Construction
1521,Uttar Pradesh,Noida,Noida Central,Apartment,1,655,123.02,18781.72,2019,Fully Furnished,17,18,5,4,5,Medium,Single,Medium,"Swimming Pool,Visitor Parking,Intercom,Lift,Power Backup",North-East,Owner,Under Construction
1522,Telangana,Hyderabad,Hyderabad Suburban,Apartment,3,1444,221.55,15342.67,2019,Semi-Furnished,21,23,5,0,3,Low,Single,High,Club House,East,Builder,Under Construction
1523,Karnataka,Bangalore,Bangalore Rural,Independent House,1,798,96.05,12036.69,1990,Unfurnished,22,28,34,3,4,Medium,Double,Medium,"Intercom,Swimming Pool,Play Area,Garden,CCTV,Power Backup",South-West,Owner,Ready to Move
1524,Delhi,Delhi,Delhi Central,Independent House,5,2697,723.44,26823.97,1998,Semi-Furnished,9,15,26,7,5,Medium,None,High,Club House,North-West,Builder,Ready to Move
1525,Gujarat,Ahmedabad,Ahmedabad Outskirts,Apartment,3,1688,119.72,7092.37,1992,Semi-Furnished,3,8,32,3,5,Medium,None,High,"Visitor Parking,Power Backup,Intercom",West,Agent,Ready to Move
1526,Madhya Pradesh,Indore,Indore Suburban,Apartment,1,723,56.21,7773.93,2009,Semi-Furnished,18,25,15,0,0,Medium,Single,Medium,"CCTV,Power Backup",South-West,Builder,Ready to Move
1527,Maharashtra,Mumbai,Mumbai Prime,Independent House,3,1931,889.81,46080.02,2016,Fully Furnished,8,14,8,0,0,High,Double,Medium,,West,Owner,Ready to Move
1528,Delhi,Delhi,Delhi Central,Villa,3,1397,391.6,28031.59,1990,Semi-Furnished,2,6,34,1,5,Medium,Single,Medium,Power Backup,North-West,Owner,Ready to Move
1529,Rajasthan,Jaipur,Jaipur Outskirts,Studio,4,2610,136.0,5210.75,1991,Unfurnished,13,15,33,4,5,Low,Double,Low,"Lift,Visitor Parking,Intercom",West,Builder,Ready to Move
1530,Karnataka,Bangalore,Bangalore Central,Apartment,1,561,108.87,19405.66,1991,Unfurnished,29,32,33,5,3,Low,Double,Medium,Power Backup,West,Owner,Ready to Move
1531,Karnataka,Bangalore,Bangalore Rural,Villa,2,1221,170.75,13984.27,1993,Fully Furnished,22,23,31,6,5,Low,Single,Low,"Swimming Pool,Power Backup,CCTV,Intercom",West,Owner,Resale
1532,Maharashtra,Mumbai,Mumbai Suburban,Independent House,3,1614,534.8,33135.3,1997,Fully Furnished,0,5,27,4,1,Medium,Single,Medium,"Intercom,Visitor Parking",East,Builder,Resale
1533,Maharashtra,Nagpur,Nagpur Central,Penthouse,3,1527,168.26,11019.02,2000,Fully Furnished,7,11,24,4,4,Medium,None,High,"Club House,Intercom,Garden,CCTV,Power Backup",East,Builder,Ready to Move
1534,Maharashtra,Nagpur,Nagpur Suburban,Apartment,1,600,41.81,6968.75,1996,Fully Furnished,12,13,28,1,3,Low,Single,Medium,"Gym,Club House,CCTV,Lift,Swimming Pool,Power Backup,Play Area",South-East,Owner,Ready to Move
1535,Telangana,Hyderabad,Hyderabad Rural,Villa,3,1378,185.62,13470.35,2022,Semi-Furnished,10,17,2,0,0,High,None,Low,"Club House,Swimming Pool,Intercom,CCTV,Lift",East,Agent,Ready to Move
1536,Delhi,Delhi,Delhi Outskirts,Apartment,2,1140,278.28,24410.83,2010,Fully Furnished,25,29,14,0,2,High,Double,High,"Intercom,CCTV,Garden",East,Owner,Under Construction
1537,Delhi,Delhi,Delhi Outskirts,Independent House,1,618,131.79,21325.56,1998,Semi-Furnished,3,8,26,0,1,High,Double,Medium,"Garden,Gym,Intercom,Swimming Pool,Visitor Parking",North-West,Owner,Ready to Move
1538,Tamil Nadu,Chennai,Chennai Rural,Apartment,1,664,55.1,8297.48,1997,Semi-Furnished,1,9,27,0,1,Medium,Single,High,"Intercom,Play Area,Club House,Gym,CCTV",West,Agent,Ready to Move
1539,Maharashtra,Mumbai,Mumbai Outskirts,Independent House,2,1275,331.55,26003.65,1992,Unfurnished,23,31,32,4,1,High,Double,High,,North-East,Owner,Under Construction
1540,Telangana,Hyderabad,Hyderabad Suburban,Apartment,4,1669,263.51,15788.53,1999,Unfurnished,15,17,25,4,3,Medium,Single,Medium,"Visitor Parking,Club House",South-West,Builder,Under Construction
1541,Maharashtra,Mumbai,Mumbai Rural,Apartment,3,1727,373.51,21627.69,2020,Fully Furnished,10,18,4,4,4,Medium,Single,High,"Power Backup,Garden",North,Owner,Ready to Move
1542,Madhya Pradesh,Indore,Indore Outskirts,Apartment,2,892,55.04,6170.12,2000,Semi-Furnished,5,11,24,4,1,Medium,Double,Medium,"Play Area,Power Backup,Intercom,Lift,Garden,Swimming Pool",North,Owner,Resale
1543,Uttar Pradesh,Lucknow,Lucknow Rural,Apartment,2,982,47.56,4842.81,2014,Unfurnished,16,21,10,7,5,Medium,None,Medium,"Lift,CCTV,Garden,Gym",North-West,Agent,Ready to Move
1544,Karnataka,Bangalore,Bangalore Rural,Villa,3,1850,249.06,13462.72,2012,Unfurnished,25,27,12,3,0,Low,None,Medium,"Intercom,CCTV,Play Area",South-East,Builder,Resale
1545,Madhya Pradesh,Indore,Indore Prime,Apartment,3,1480,129.1,8723.17,1990,Unfurnished,17,26,34,5,5,Low,Single,Medium,"Garden,Swimming Pool,Gym,Lift,Club House",South-East,Owner,Resale
1546,Gujarat,Surat,Surat Outskirts,Independent House,3,1282,107.87,8414.08,2017,Fully Furnished,22,27,7,0,4,High,Single,High,CCTV,South-West,Owner,Ready to Move
1547,Uttar Pradesh,Noida,Noida Outskirts,Independent House,2,1187,144.14,12142.84,2007,Unfurnished,10,11,17,7,1,High,Single,Medium,"Garden,Club House,Swimming Pool,Power Backup,Intercom,CCTV",North-West,Owner,Ready to Move
1548,Gujarat,Ahmedabad,Ahmedabad Suburban,Studio,3,1195,139.57,11679.17,2020,Fully Furnished,5,13,4,3,4,High,Double,High,"Swimming Pool,Play Area,Power Backup,Garden,CCTV,Visitor Parking,Intercom",South-East,Builder,Under Construction
1549,Rajasthan,Jaipur,Jaipur Central,Independent House,3,1517,192.42,12684.47,2006,Fully Furnished,19,20,18,0,4,Medium,Single,Medium,"Intercom,Club House,Play Area,Visitor Parking",North-West,Owner,Ready to Move
1550,Maharashtra,Pune,Pune Rural,Apartment,4,2419,264.04,10915.3,2013,Semi-Furnished,6,10,11,1,3,Low,Double,Medium,"Power Backup,CCTV,Visitor Parking,Lift,Intercom",North,Owner,Ready to Move
1551,Maharashtra,Pune,Pune Suburban,Apartment,2,1100,222.18,20197.98,2000,Fully Furnished,7,14,24,3,4,High,None,Medium,"Play Area,Intercom,Lift,Power Backup,Garden,Gym",North-East,Builder,Under Construction
1552,Karnataka,Bangalore,Bangalore Suburban,Apartment,3,1473,321.66,21836.77,1997,Semi-Furnished,19,21,27,7,3,Medium,Double,Medium,"Gym,Lift,Club House,Swimming Pool,CCTV,Intercom",North-East,Agent,Ready to Move
1553,Gujarat,Ahmedabad,Ahmedabad Central,Apartment,2,885,103.31,11673.16,2007,Semi-Furnished,14,18,17,1,1,Medium,Double,Medium,"Power Backup,Play Area",West,Agent,Ready to Move
1554,Gujarat,Ahmedabad,Ahmedabad Outskirts,Apartment,1,647,50.69,7835.28,1996,Unfurnished,8,9,28,2,2,Medium,None,Medium,"Intercom,Garden,Gym,Visitor Parking,CCTV",East,Agent,Ready to Move
1555,Maharashtra,Mumbai,Mumbai Suburban,Studio,3,1541,510.3,33115.07,2020,Fully Furnished,19,25,4,2,2,Medium,None,Low,"Club House,Lift,Gym,Play Area,Garden",South,Agent,Ready to Move
1556,Uttar Pradesh,Ghaziabad,Ghaziabad Suburban,Studio,4,2158,187.54,8690.4,2020,Unfurnished,16,25,4,2,2,Medium,Single,High,Visitor Parking,South,Builder,Under Construction
1557,Madhya Pradesh,Indore,Indore Suburban,Independent House,3,1735,151.66,8741.39,2017,Semi-Furnished,25,32,7,5,3,High,None,Medium,"Intercom,Lift,CCTV,Visitor Parking,Gym,Swimming Pool",North-West,Agent,Ready to Move
1558,Maharashtra,Nagpur,Nagpur Rural,Apartment,4,2372,102.54,4322.89,2021,Semi-Furnished,25,27,3,3,2,High,Single,Medium,Power Backup,South,Owner,Ready to Move
1559,Gujarat,Ahmedabad,Ahmedabad Outskirts,Independent House,3,1655,151.49,9153.34,2017,Semi-Furnished,1,5,7,6,2,High,Single,High,"Lift,Play Area,Intercom,CCTV",South-West,Builder,Ready to Move
1560,Delhi,Delhi,Delhi Suburban,Apartment,2,785,204.99,26113.95,1993,Semi-Furnished,4,7,31,1,5,Medium,Single,High,"Lift,Garden,Intercom,Swimming Pool,Power Backup,Play Area,Visitor Parking",East,Owner,Resale
1561,Karnataka,Bangalore,Bangalore Suburban,Penthouse,3,1637,551.08,33664.05,2009,Fully Furnished,17,19,15,3,4,Low,Single,High,"Power Backup,Lift,Garden",South-East,Builder,Ready to Move
1562,Delhi,Delhi,Delhi Suburban,Independent House,4,2222,621.06,27950.62,2010,Semi-Furnished,21,24,14,0,1,Medium,Single,Medium,Gym,South-West,Owner,Under Construction
1563,Karnataka,Bangalore,Bangalore Outskirts,Apartment,3,1529,240.09,15702.51,1992,Fully Furnished,24,25,32,7,1,High,None,High,,South,Owner,Ready to Move
1564,Maharashtra,Nagpur,Nagpur Suburban,Studio,3,1297,75.43,5815.47,2016,Semi-Furnished,19,24,8,6,1,Medium,None,High,Visitor Parking,South,Builder,Under Construction
1565,Maharashtra,Mumbai,Mumbai Suburban,Apartment,3,1591,614.41,38617.78,2004,Fully Furnished,5,13,20,7,3,Medium,Single,High,"Gym,Power Backup,Swimming Pool,Garden",South,Builder,Ready to Move
1566,Karnataka,Bangalore,Bangalore Suburban,Apartment,2,1201,230.61,19201.8,1997,Semi-Furnished,4,13,27,2,1,Low,Single,High,"Visitor Parking,Intercom,Gym,Lift",West,Owner,Resale
1567,Gujarat,Ahmedabad,Ahmedabad Suburban,Apartment,1,633,55.77,8811.04,2016,Semi-Furnished,1,6,8,0,2,Low,Single,Medium,"Intercom,Club House,Lift",East,Agent,Ready to Move
1568,Tamil Nadu,Chennai,Chennai Suburban,Penthouse,1,705,145.73,20670.84,2018,Unfurnished,2,5,6,6,2,Medium,Single,Medium,"Lift,Swimming Pool,Intercom",West,Owner,Under Construction
1569,Maharashtra,Nagpur,Nagpur Central,Apartment,4,1554,122.31,7870.47,2018,Fully Furnished,12,13,6,1,4,Medium,Double,Medium,Play Area,South-West,Agent,Ready to Move
1570,Maharashtra,Mumbai,Mumbai Central,Apartment,2,1063,380.18,35764.88,1992,Fully Furnished,27,35,32,2,4,Medium,Single,High,"Garden,CCTV,Lift,Intercom,Power Backup",North-West,Owner,Ready to Move
1571,Uttar Pradesh,Lucknow,Lucknow Rural,Villa,1,607,35.85,5906.21,2019,Semi-Furnished,9,16,5,6,0,Low,Single,Low,,North,Builder,Resale
1572,Telangana,Hyderabad,Hyderabad Suburban,Apartment,3,1517,281.47,18554.13,2014,Fully Furnished,7,14,10,6,2,Low,Single,Medium,"Visitor Parking,Gym,Swimming Pool,Intercom,Lift,Play Area",East,Builder,Ready to Move
1573,Gujarat,Surat,Surat Suburban,Apartment,2,1141,101.24,8873.15,2021,Fully Furnished,27,36,3,1,5,Medium,Double,Low,"Garden,CCTV",South,Owner,Ready to Move
1574,Delhi,Delhi,Delhi Suburban,Studio,2,1375,269.71,19615.56,1997,Fully Furnished,10,14,27,3,4,Low,Single,High,,South-West,Owner,Ready to Move
1575,Maharashtra,Pune,Pune Suburban,Independent House,3,1095,232.32,21216.83,2013,Unfurnished,22,26,11,6,3,Low,Single,High,"Visitor Parking,CCTV,Intercom,Club House,Garden,Play Area",West,Builder,Ready to Move
1576,Karnataka,Bangalore,Bangalore Outskirts,Independent House,2,985,176.85,17954.44,2015,Semi-Furnished,28,37,9,3,0,High,Single,Medium,"Power Backup,Visitor Parking,Swimming Pool,Intercom",East,Builder,Under Construction
1577,Gujarat,Ahmedabad,Ahmedabad Prime,Penthouse,2,1045,210.51,20144.65,2008,Semi-Furnished,29,30,16,4,1,High,Double,Medium,CCTV,West,Builder,Under Construction
1578,Telangana,Hyderabad,Hyderabad Central,Villa,4,1958,475.25,24272.45,1998,Unfurnished,18,22,26,2,1,High,Double,Medium,"Intercom,Gym,Lift",South,Owner,Ready to Move
1579,Karnataka,Bangalore,Bangalore Central,Apartment,1,549,110.54,20135.11,2000,Fully Furnished,0,8,24,0,0,Medium,Single,Medium,,North-East,Owner,Ready to Move
1580,Gujarat,Ahmedabad,Ahmedabad Suburban,Apartment,2,1015,113.66,11197.83,2022,Semi-Furnished,23,30,2,1,1,High,Single,High,,South,Agent,Under Construction
1581,Maharashtra,Mumbai,Mumbai Suburban,Apartment,4,1456,444.96,30560.21,1990,Unfurnished,13,15,34,7,3,Medium,Single,High,"Power Backup,CCTV,Gym,Club House,Intercom,Lift",North,Agent,Ready to Move
1582,Uttar Pradesh,Noida,Noida Suburban,Villa,3,1691,245.97,14545.99,2008,Unfurnished,20,29,16,4,4,Medium,None,High,,North-East,Agent,Under Construction
1583,Tamil Nadu,Chennai,Chennai Suburban,Apartment,3,1417,184.55,13023.87,2001,Unfurnished,16,22,23,0,4,Medium,None,High,,East,Owner,Ready to Move
1584,Maharashtra,Pune,Pune Outskirts,Independent House,2,1077,179.15,16633.74,1993,Fully Furnished,26,35,31,7,0,Medium,Single,Medium,"Club House,Garden,Lift,Gym,Play Area,Swimming Pool,Visitor Parking",North-East,Builder,Ready to Move
1585,Madhya Pradesh,Indore,Indore Rural,Studio,4,1148,47.48,4135.55,2008,Semi-Furnished,13,18,16,3,1,High,Single,Low,"Swimming Pool,Lift,Intercom,Power Backup,CCTV,Visitor Parking",South-West,Owner,Resale
1586,Rajasthan,Jaipur,Jaipur Suburban,Independent House,3,1401,156.32,11157.83,2003,Fully Furnished,14,16,21,4,0,Low,Single,High,,North-West,Builder,Under Construction
1587,Telangana,Hyderabad,Hyderabad Suburban,Apartment,4,1651,309.22,18729.38,2002,Semi-Furnished,18,20,22,6,0,High,Double,High,"Swimming Pool,Garden,Power Backup,Lift,Intercom,Visitor Parking",South-West,Builder,Under Construction
1588,Gujarat,Ahmedabad,Ahmedabad Suburban,Apartment,3,1670,164.25,9835.36,2000,Unfurnished,1,9,24,4,4,High,Double,High,"CCTV,Play Area,Visitor Parking,Intercom,Garden",South-West,Builder,Resale
